"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 15","1,679.47","1,674.90","1,687.06","1,671.78","","0.30%"
"2024- 01- 12","1,674.49","1,677.31","1,683.41","1,668.11","","-0.12%"
"2024- 01- 11","1,676.49","1,681.14","1,683.21","1,670.44","","-0.22%"
"2024- 01- 10","1,680.18","1,678.47","1,682.30","1,674.11","","0.16%"
"2024- 01- 09","1,677.43","1,672.76","1,681.27","1,669.73","","0.33%"
"2024- 01- 08","1,671.98","1,672.85","1,679.13","1,669.22","","0.05%"
"2024- 01- 05","1,671.09","1,667.14","1,677.01","1,661.39","","0.37%"
"2024- 01- 04","1,664.85","1,659.63","1,669.93","1,656.16","","0.41%"
"2024- 01- 03","1,658.09","1,655.28","1,662.27","1,648.49","","0.22%"
"2024- 01- 02","1,654.49","1,647.89","1,665.74","1,642.99","","0.53%"
"2024- 01- 01","1,645.77","1,648.40","1,650.73","1,645.69","","-0.11%"
"2023- 12- 29","1,647.64","1,642.18","1,658.44","1,635.30","","0.39%"
"2023- 12- 28","1,641.19","1,656.42","1,658.37","1,638.44","","-0.78%"
"2023- 12- 27","1,654.11","1,647.69","1,657.34","1,642.96","","0.45%"
"2023- 12- 26","1,646.73","1,645.17","1,651.61","1,641.39","","0.18%"
"2023- 12- 25","1,643.77","1,650.00","1,652.40","1,644.46","","-0.23%"
"2023- 12- 22","1,647.51","1,644.69","1,656.32","1,642.64","","0.28%"
"2023- 12- 21","1,642.92","1,648.31","1,654.56","1,640.82","","-0.23%"
"2023- 12- 20","1,646.70","1,656.23","1,658.82","1,641.97","","-0.51%"
"2023- 12- 19","1,655.17","1,648.94","1,663.91","1,644.58","","0.49%"
"2023- 12- 18","1,647.11","1,650.61","1,652.49","1,643.61","","-0.07%"
"2023- 12- 15","1,648.26","1,646.81","1,659.77","1,644.55","","0.19%"
"2023- 12- 14","1,645.09","1,663.67","1,665.05","1,632.28","","-1.01%"
"2023- 12- 13","1,661.84","1,648.60","1,664.66","1,647.06","","0.92%"
"2023- 12- 12","1,646.62","1,653.22","1,657.37","1,643.46","","-0.34%"
"2023- 12- 11","1,652.29","1,652.99","1,662.15","1,650.03","","0.04%"
"2023- 12- 08","1,651.57","1,654.05","1,657.29","1,639.60","","-0.19%"
"2023- 12- 07","1,654.64","1,653.15","1,666.47","1,651.09","","0.10%"
"2023- 12- 06","1,652.95","1,654.91","1,659.08","1,650.96","","-0.01%"
