"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 15","1,444.94","1,439.15","1,450.37","1,437.32","","0.49%"
"2024- 01- 12","1,437.84","1,442.59","1,446.49","1,433.43","","-0.24%"
"2024- 01- 11","1,441.30","1,447.74","1,448.81","1,438.67","","-0.39%"
"2024- 01- 10","1,447.00","1,443.60","1,448.80","1,440.42","","0.30%"
"2024- 01- 09","1,442.72","1,436.96","1,446.30","1,433.91","","0.45%"
"2024- 01- 08","1,436.26","1,439.44","1,446.04","1,436.40","","-0.11%"
"2024- 01- 05","1,437.82","1,439.06","1,445.30","1,433.43","","0.06%"
"2024- 01- 04","1,436.90","1,431.16","1,441.26","1,427.50","","0.48%"
"2024- 01- 03","1,430.10","1,436.56","1,438.01","1,428.01","","-0.31%"
"2024- 01- 02","1,434.58","1,429.76","1,442.60","1,425.40","","0.42%"
"2024- 01- 01","1,428.59","1,429.07","1,430.14","1,428.66","","0.01%"
"2023- 12- 29","1,428.50","1,426.65","1,441.30","1,422.43","","0.19%"
"2023- 12- 28","1,425.76","1,437.44","1,439.19","1,424.94","","-0.67%"
"2023- 12- 27","1,435.37","1,430.57","1,439.00","1,425.49","","0.46%"
"2023- 12- 26","1,428.82","1,427.03","1,432.82","1,424.33","","0.21%"
"2023- 12- 25","1,425.88","1,430.32","1,430.75","1,426.57","","-0.17%"
"2023- 12- 22","1,428.27","1,427.29","1,434.13","1,425.32","","0.20%"
"2023- 12- 21","1,425.38","1,426.87","1,433.95","1,424.05","","0.00%"
"2023- 12- 20","1,425.31","1,428.58","1,430.60","1,422.15","","-0.16%"
"2023- 12- 19","1,427.63","1,424.52","1,433.34","1,419.69","","0.32%"
"2023- 12- 18","1,423.02","1,419.46","1,425.45","1,414.08","","0.45%"
"2023- 12- 15","1,416.66","1,418.05","1,426.11","1,415.06","","0.02%"
"2023- 12- 14","1,416.36","1,433.79","1,435.43","1,406.89","","-1.09%"
"2023- 12- 13","1,432.02","1,416.32","1,434.70","1,415.67","","1.22%"
"2023- 12- 12","1,414.72","1,417.20","1,421.94","1,412.08","","-0.14%"
"2023- 12- 11","1,416.68","1,418.22","1,423.70","1,415.17","","0.01%"
"2023- 12- 08","1,416.59","1,418.56","1,420.78","1,405.32","","-0.11%"
"2023- 12- 07","1,418.11","1,417.42","1,428.91","1,415.61","","0.12%"
"2023- 12- 06","1,416.44","1,418.31","1,420.67","1,414.23","","-0.06%"
"2023- 12- 05","1,417.26","1,420.31","1,427.03","1,417.21","","-0.14%"
"2023- 12- 04","1,419.25","1,409.73","1,421.09","1,407.04","","0.84%"
"2023- 12- 01","1,407.48","1,416.33","1,426.34","1,407.69","","-0.49%"
"2023- 11- 30","1,414.34","1,416.59","1,421.30","1,411.98","","-0.13%"
"2023- 11- 29","1,416.16","1,415.73","1,421.45","1,413.18","","0.10%"
"2023- 11- 28","1,414.69","1,422.32","1,423.40","1,413.77","","-0.41%"
"2023- 11- 27","1,420.55","1,426.22","1,431.92","1,420.68","","-0.33%"
"2023- 11- 24","1,425.32","1,419.05","1,428.34","1,414.13","","0.53%"
"2023- 11- 23","1,417.74","1,416.47","1,421.05","1,411.88","","0.10%"
"2023- 11- 22","1,416.29","1,414.08","1,423.76","1,409.50","","0.29%"
"2023- 11- 21","1,412.19","1,409.63","1,416.82","1,405.75","","0.32%"
"2023- 11- 20","1,407.63","1,413.94","1,417.44","1,405.51","","-0.29%"
"2023- 11- 17","1,411.75","1,402.98","1,415.13","1,400.26","","0.68%"
"2023- 11- 16","1,402.19","1,415.79","1,420.62","1,397.54","","-0.90%"
"2023- 11- 15","1,414.98","1,419.89","1,422.82","1,408.20","","-0.31%"
"2023- 11- 14","1,419.33","1,411.77","1,429.89","1,410.95","","0.60%"
"2023- 11- 13","1,410.92","1,407.80","1,417.29","1,407.38","","0.34%"
"2023- 11- 10","1,406.16","1,406.32","1,410.64","1,402.36","","0.10%"
"2023- 11- 09","1,404.75","1,401.71","1,407.95","1,395.30","","0.33%"
"2023- 11- 08","1,400.17","1,396.30","1,404.95","1,388.92","","0.32%"
"2023- 11- 07","1,395.67","1,392.46","1,404.40","1,391.65","","0.31%"
"2023- 11- 06","1,391.38","1,405.21","1,408.28","1,388.89","","-0.87%"
"2023- 11- 03","1,403.60","1,417.33","1,419.68","1,397.50","","-0.89%"
"2023- 11- 02","1,416.27","1,425.66","1,428.82","1,413.80","","-0.56%"
"2023- 11- 01","1,424.27","1,430.82","1,436.51","1,423.42","","-0.40%"
"2023- 10- 31","1,430.03","1,429.31","1,439.37","1,427.54","","0.13%"
"2023- 10- 30","1,428.12","1,433.03","1,434.40","1,424.16","","-0.22%"
"2023- 10- 27","1,431.33","1,429.64","1,436.23","1,423.82","","0.20%"
"2023- 10- 26","1,428.44","1,429.33","1,434.44","1,427.34","","-0.01%"
"2023- 10- 25","1,428.58","1,423.66","1,432.10","1,422.35","","0.40%"
"2023- 10- 24","1,422.90","1,433.41","1,437.45","1,423.11","","-0.62%"
"2023- 10- 23","1,431.77","1,430.56","1,436.33","1,429.06","","0.19%"
"2023- 10- 20","1,429.08","1,436.11","1,438.68","1,426.91","","-0.40%"
"2023- 10- 19","1,434.80","1,427.86","1,441.48","1,426.31","","0.60%"
"2023- 10- 18","1,426.29","1,431.41","1,433.15","1,425.69","","-0.31%"
"2023- 10- 17","1,430.78","1,423.77","1,435.35","1,421.57","","0.53%"
"2023- 10- 16","1,423.17","1,421.70","1,429.43","1,420.93","","0.15%"
"2023- 10- 13","1,421.04","1,420.65","1,426.06","1,418.70","","0.08%"
"2023- 10- 12","1,419.92","1,423.02","1,428.15","1,414.79","","-0.08%"
"2023- 10- 11","1,421.00","1,423.85","1,425.45","1,417.42","","-0.09%"
"2023- 10- 10","1,422.21","1,424.08","1,430.52","1,421.15","","-0.06%"
"2023- 10- 09","1,423.06","1,420.36","1,430.08","1,417.96","","-0.02%"
