"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 04- 30","191.30","190.19","191.54","189.87","","0.65%"
"2024- 04- 29","190.07","190.18","191.06","189.73","","0.07%"
"2024- 04- 26","189.94","189.53","190.36","189.20","","0.28%"
"2024- 04- 25","189.41","190.15","190.43","189.36","","-0.33%"
"2024- 04- 24","190.04","189.62","190.26","188.68","","0.28%"
"2024- 04- 23","189.50","190.43","190.54","189.29","","-0.44%"
"2024- 04- 22","190.33","189.98","191.12","189.84","","0.27%"
"2024- 04- 19","189.81","190.71","192.46","189.88","","-0.39%"
"2024- 04- 18","190.55","190.65","191.11","189.53","","0.04%"
"2024- 04- 17","190.47","192.04","192.37","190.60","","-0.78%"
"2024- 04- 16","191.96","191.77","193.56","191.66","","0.19%"
"2024- 04- 15","191.60","190.76","192.22","190.70","","0.51%"
"2024- 04- 12","190.63","189.09","191.58","188.79","","0.93%"
"2024- 04- 11","188.88","188.55","189.49","188.20","","0.22%"
"2024- 04- 10","188.46","187.00","188.91","186.15","","0.89%"
"2024- 04- 09","186.79","187.38","187.61","186.74","","-0.23%"
"2024- 04- 08","187.22","186.80","187.65","186.76","","0.26%"
"2024- 04- 05","186.73","186.85","187.50","186.40","","-0.02%"
"2024- 04- 04","186.76","186.00","186.90","185.66","","0.47%"
"2024- 04- 03","185.88","186.91","187.13","185.95","","-0.50%"
"2024- 04- 02","186.82","187.21","187.57","186.26","","-0.18%"
"2024- 04- 01","187.16","186.44","187.55","185.95","","0.49%"
"2024- 03- 29","186.24","186.90","186.91","186.03","","-0.25%"
"2024- 03- 28","186.71","186.87","187.26","185.85","","-0.03%"
"2024- 03- 27","186.76","186.21","187.26","185.75","","0.40%"
"2024- 03- 26","186.02","185.77","186.36","185.02","","0.20%"
"2024- 03- 25","185.64","185.92","186.44","184.99","","-0.10%"
"2024- 03- 22","185.82","185.49","186.43","184.70","","0.28%"
"2024- 03- 21","185.30","184.84","185.65","183.62","","0.37%"
"2024- 03- 20","184.62","185.78","186.43","184.79","","-0.60%"
"2024- 03- 19","185.74","185.74","186.37","185.60","","0.06%"
"2024- 03- 18","185.62","184.98","185.90","184.84","","0.39%"
"2024- 03- 15","184.90","184.15","185.30","183.84","","0.52%"
"2024- 03- 14","183.95","182.85","184.29","182.51","","0.63%"
"2024- 03- 13","182.79","182.73","183.45","182.34","","0.09%"
"2024- 03- 12","182.63","182.60","183.17","182.21","","0.10%"
"2024- 03- 11","182.45","183.27","183.53","181.90","","-0.37%"
"2024- 03- 08","183.12","184.10","184.52","182.47","","-0.45%"
"2024- 03- 07","183.94","184.79","185.18","184.00","","-0.37%"
"2024- 03- 06","184.62","185.72","185.85","184.66","","-0.50%"
"2024- 03- 05","185.55","185.04","185.88","184.80","","0.37%"
"2024- 03- 04","184.87","184.96","185.21","184.52","","0.01%"
"2024- 03- 01","184.86","185.82","186.00","184.99","","-0.43%"
"2024- 02- 29","185.65","185.60","186.01","184.99","","0.17%"
"2024- 02- 28","185.33","185.10","185.88","184.85","","0.15%"
"2024- 02- 27","185.06","185.12","185.30","184.72","","0.01%"
"2024- 02- 26","185.04","184.84","185.27","184.52","","0.13%"
"2024- 02- 23","184.80","184.51","185.36","184.41","","0.18%"
"2024- 02- 22","184.47","185.45","185.68","184.21","","-0.50%"
"2024- 02- 21","185.39","185.50","186.04","185.29","","-0.02%"
"2024- 02- 20","185.42","185.45","186.09","185.16","","0.08%"
"2024- 02- 19","185.27","185.29","185.71","184.98","","0.12%"
"2024- 02- 16","185.05","184.82","185.91","184.68","","0.21%"
"2024- 02- 15","184.67","185.18","185.62","184.67","","-0.10%"
"2024- 02- 14","184.86","186.45","186.50","184.88","","-0.80%"
"2024- 02- 13","186.36","184.79","186.83","184.43","","0.91%"
"2024- 02- 12","184.68","185.11","185.29","184.60","","-0.11%"
"2024- 02- 09","184.88","185.16","185.46","184.82","","-0.05%"
"2024- 02- 08","184.98","184.66","185.36","184.16","","0.21%"
"2024- 02- 07","184.59","184.57","184.93","183.88","","0.05%"
"2024- 02- 06","184.50","185.31","185.46","184.26","","-0.37%"
"2024- 02- 05","185.19","185.96","186.24","184.85","","-0.42%"
"2024- 02- 02","185.98","185.20","186.25","183.90","","0.49%"
"2024- 02- 01","185.08","186.18","186.38","185.07","","-0.52%"
"2024- 01- 31","186.04","185.49","186.52","185.12","","0.50%"
"2024- 01- 30","185.11","185.72","185.82","184.85","","-0.27%"
"2024- 01- 29","185.61","186.41","186.59","185.43","","-0.33%"
"2024- 01- 26","186.22","186.52","186.86","185.70","","-0.08%"
"2024- 01- 25","186.36","186.42","187.01","186.16","","0.09%"
"2024- 01- 24","186.19","186.68","187.02","185.75","","-0.14%"
"2024- 01- 23","186.45","186.23","187.07","185.53","","0.17%"
"2024- 01- 22","186.14","185.41","186.50","184.96","","0.40%"
"2024- 01- 19","185.39","186.17","186.21","185.25","","-0.32%"
"2024- 01- 18","185.98","186.96","187.18","185.66","","-0.41%"
"2024- 01- 17","186.75","186.21","187.69","185.90","","0.37%"
"2024- 01- 16","186.06","184.15","186.44","184.09","","1.11%"
"2024- 01- 15","184.02","183.32","184.51","183.26","","0.46%"
"2024- 01- 12","183.18","183.38","183.85","182.48","","-0.04%"
"2024- 01- 11","183.25","183.98","184.54","183.24","","-0.35%"
"2024- 01- 10","183.90","184.21","184.48","183.65","","-0.13%"
"2024- 01- 09","184.14","183.40","184.44","182.85","","0.44%"
"2024- 01- 08","183.34","184.16","184.55","183.34","","-0.35%"
"2024- 01- 05","183.98","183.60","184.90","182.90","","0.32%"
"2024- 01- 04","183.39","183.26","183.79","182.57","","0.15%"
"2024- 01- 03","183.12","183.50","183.77","182.65","","-0.21%"
"2024- 01- 02","183.51","182.16","184.07","181.82","","0.75%"
"2024- 01- 01","182.14","182.37","182.37","182.34","","-0.07%"
"2023- 12- 29","182.26","181.44","183.12","180.62","","0.51%"
"2023- 12- 28","181.34","181.33","181.55","180.45","","0.17%"
"2023- 12- 27","181.03","181.28","181.45","180.74","","-0.06%"
"2023- 12- 26","181.14","181.65","182.18","180.79","","-0.20%"
"2023- 12- 25","181.51","181.99","182.13","181.62","","-0.17%"
"2023- 12- 22","181.81","181.67","182.70","181.55","","0.25%"
"2023- 12- 21","181.35","182.63","182.93","181.52","","-0.67%"
"2023- 12- 20","182.58","182.46","182.93","181.81","","0.13%"
"2023- 12- 19","182.34","182.78","183.42","182.18","","-0.15%"
"2023- 12- 18","182.62","182.92","183.04","181.85","","-0.03%"
"2023- 12- 15","182.67","181.43","183.37","181.15","","0.81%"
"2023- 12- 14","181.21","182.12","182.16","180.10","","-1.30%"
"2023- 12- 13","183.60","182.88","183.99","182.73","","0.53%"
"2023- 12- 12","182.64","183.49","183.83","182.36","","-0.42%"
"2023- 12- 11","183.41","183.66","184.16","183.15","","-0.14%"
"2023- 12- 08","183.66","183.75","184.26","182.29","","-0.04%"
"2023- 12- 07","183.74","183.73","185.46","183.42","","-0.04%"
"2023- 12- 06","183.82","183.80","184.12","183.21","","0.08%"
"2023- 12- 05","183.67","183.49","184.57","183.10","","0.17%"
"2023- 12- 04","183.35","181.23","183.86","181.20","","1.23%"
"2023- 12- 01","181.12","182.29","183.29","181.23","","-0.52%"
"2023- 11- 30","182.07","180.99","182.43","180.60","","0.57%"
"2023- 11- 29","181.04","180.26","181.53","179.81","","0.53%"
"2023- 11- 28","180.08","181.52","181.59","179.88","","-0.68%"
"2023- 11- 27","181.31","182.10","182.98","181.43","","-0.50%"
"2023- 11- 24","182.22","182.07","182.97","181.43","","0.19%"
"2023- 11- 23","181.88","181.76","182.40","181.20","","0.07%"
"2023- 11- 22","181.75","181.58","182.73","180.85","","0.24%"
"2023- 11- 21","181.31","179.73","181.66","179.10","","1.03%"
"2023- 11- 20","179.47","179.67","180.53","179.19","","0.01%"
"2023- 11- 17","179.45","178.50","179.84","178.05","","0.58%"
"2023- 11- 16","178.42","180.10","180.62","177.60","","-0.89%"
"2023- 11- 15","180.02","179.92","180.39","178.98","","0.10%"
"2023- 11- 14","179.84","181.01","182.39","179.60","","-0.61%"
"2023- 11- 13","180.94","180.82","181.90","180.71","","0.19%"
"2023- 11- 10","180.60","180.99","181.31","180.21","","-0.12%"
"2023- 11- 09","180.81","179.82","181.04","178.87","","0.67%"
"2023- 11- 08","179.61","179.26","180.68","178.65","","0.25%"
"2023- 11- 07","179.17","178.71","180.28","178.62","","0.34%"
"2023- 11- 06","178.56","179.14","179.82","177.74","","-0.33%"
"2023- 11- 03","179.16","182.38","182.73","178.54","","-1.71%"
"2023- 11- 02","182.27","184.32","184.40","181.57","","-1.03%"
"2023- 11- 01","184.17","184.89","185.77","184.23","","-0.34%"
"2023- 10- 31","184.79","184.11","185.32","183.95","","0.43%"
"2023- 10- 30","183.99","185.46","185.51","183.98","","-0.63%"
"2023- 10- 27","185.16","185.02","185.63","184.23","","0.15%"
"2023- 10- 26","184.88","184.89","185.93","184.73","","0.04%"
"2023- 10- 25","184.81","183.90","185.07","183.75","","0.54%"
"2023- 10- 24","183.82","183.66","184.37","183.40","","0.20%"
"2023- 10- 23","183.45","184.57","185.21","183.53","","-0.50%"
"2023- 10- 20","184.37","185.57","185.94","184.40","","-0.55%"
"2023- 10- 19","185.39","185.29","185.99","184.95","","0.18%"
"2023- 10- 18","185.06","185.10","185.64","184.39","","0.05%"
"2023- 10- 17","184.96","184.41","185.66","184.26","","0.33%"
"2023- 10- 16","184.36","185.21","185.54","184.34","","-0.38%"
"2023- 10- 13","185.06","184.78","185.32","184.46","","0.19%"
"2023- 10- 12","184.70","183.49","185.09","182.97","","0.75%"
"2023- 10- 11","183.32","184.02","184.21","183.23","","-0.27%"
"2023- 10- 10","183.82","184.81","185.50","183.93","","-0.47%"
"2023- 10- 09","184.68","184.14","185.78","184.10","","0.29%"
"2023- 10- 06","184.14","184.39","185.87","183.90","","-0.08%"
"2023- 10- 05","184.29","185.21","185.50","184.20","","-0.44%"
"2023- 10- 04","185.10","186.54","186.83","184.90","","-0.70%"
"2023- 10- 03","186.40","185.88","186.77","185.57","","0.39%"
"2023- 10- 02","185.68","185.26","186.23","184.79","","0.29%"
"2023- 09- 29","185.14","184.97","185.40","183.76","","0.17%"
"2023- 09- 28","184.82","185.40","185.84","184.54","","-0.24%"
"2023- 09- 27","185.26","185.21","186.04","184.45","","0.15%"
"2023- 09- 26","184.98","183.22","185.34","182.90","","1.10%"
"2023- 09- 25","182.97","182.99","183.49","182.24","","0.11%"
"2023- 09- 22","182.77","183.30","183.62","182.26","","-0.23%"
"2023- 09- 21","183.20","182.96","183.99","182.72","","0.18%"
"2023- 09- 20","182.87","182.12","183.31","181.62","","0.44%"
"2023- 09- 19","182.06","181.58","182.22","180.95","","0.30%"
"2023- 09- 18","181.51","182.74","182.83","181.49","","-0.60%"
"2023- 09- 15","182.61","182.74","183.27","182.12","","-0.02%"
"2023- 09- 14","182.65","182.67","182.96","181.92","","0.12%"
"2023- 09- 13","182.43","181.95","182.94","181.52","","0.32%"
"2023- 09- 12","181.85","181.92","182.38","181.52","","0.02%"
"2023- 09- 11","181.81","181.96","183.12","181.50","","0.03%"
"2023- 09- 08","181.75","182.12","182.34","181.33","","-0.09%"
