"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 03- 05","8.8997","8.8493","8.9239","8.8425","","0.67%"
"2024- 03- 04","8.8408","8.8731","8.8853","8.8420","","-0.24%"
"2024- 03- 01","8.8625","8.9063","8.9084","8.8573","","-0.41%"
"2024- 02- 29","8.8987","8.8632","8.9452","8.8574","","0.52%"
"2024- 02- 28","8.8524","8.8518","8.8894","8.8390","","0.04%"
"2024- 02- 27","8.8491","8.8409","8.8742","8.8319","","0.13%"
"2024- 02- 26","8.8375","8.8453","8.8656","8.8263","","0.03%"
"2024- 02- 23","8.8351","8.8192","8.8563","8.8158","","0.21%"
"2024- 02- 22","8.8167","8.8716","8.8798","8.8117","","-0.59%"
"2024- 02- 21","8.8686","8.8938","8.9146","8.8667","","-0.25%"
"2024- 02- 20","8.8907","8.8919","8.9128","8.8755","","0.08%"
"2024- 02- 19","8.8832","8.8783","8.9116","8.8665","","0.25%"
"2024- 02- 16","8.8611","8.8642","8.8977","8.8513","","0.00%"
"2024- 02- 15","8.8611","8.8392","8.9044","8.8372","","0.35%"
"2024- 02- 14","8.8302","8.8937","8.9079","8.8308","","-0.67%"
"2024- 02- 13","8.8896","8.9010","8.9136","8.8251","","-0.08%"
"2024- 02- 12","8.8963","8.9218","8.9361","8.8898","","-0.12%"
"2024- 02- 09","8.9069","8.9242","8.9438","8.8984","","-0.09%"
"2024- 02- 08","8.9151","8.9664","8.9780","8.9049","","-0.54%"
"2024- 02- 07","8.9634","8.9714","8.9902","8.9431","","-0.05%"
"2024- 02- 06","8.9678","8.9719","8.9839","8.9264","","0.03%"
"2024- 02- 05","8.9652","9.0267","9.0281","8.9583","","-0.55%"
"2024- 02- 02","9.0146","9.0808","9.0855","8.9409","","-0.66%"
"2024- 02- 01","9.0744","9.0844","9.1232","9.0589","","-0.04%"
"2024- 01- 31","9.0776","9.0063","9.1161","9.0044","","0.86%"
"2024- 01- 30","9.0003","9.0406","9.0532","8.9965","","-0.38%"
"2024- 01- 29","9.0346","9.0290","9.0541","9.0084","","0.16%"
"2024- 01- 26","9.0205","9.0570","9.0739","9.0058","","-0.32%"
"2024- 01- 25","9.0496","9.0372","9.0751","9.0223","","0.23%"
"2024- 01- 24","9.0291","9.0260","9.0750","9.0176","","0.16%"
"2024- 01- 23","9.0150","9.0445","9.0726","8.9980","","-0.28%"
"2024- 01- 22","9.0403","8.9993","9.0745","8.9927","","0.44%"
"2024- 01- 19","9.0009","9.0445","9.0509","8.9914","","-0.35%"
"2024- 01- 18","9.0325","9.0782","9.0968","9.0261","","-0.42%"
"2024- 01- 17","9.0703","9.0962","9.1480","9.0680","","-0.20%"
"2024- 01- 16","9.0887","9.0624","9.1383","9.0536","","0.39%"
"2024- 01- 15","9.0535","9.0657","9.1055","9.0438","","-0.08%"
"2024- 01- 12","9.0611","9.0485","9.0800","9.0306","","0.20%"
"2024- 01- 11","9.0430","9.0526","9.0694","8.9971","","-0.06%"
"2024- 01- 10","9.0480","9.1403","9.1502","9.0438","","-0.96%"
"2024- 01- 09","9.1361","9.0975","9.1878","9.0912","","0.45%"
"2024- 01- 08","9.0950","9.0940","9.1505","9.0698","","0.12%"
"2024- 01- 05","9.0845","9.0892","9.1173","9.0307","","0.08%"
"2024- 01- 04","9.0776","9.1448","9.1741","9.0646","","-0.66%"
"2024- 01- 03","9.1382","9.2401","9.2479","9.1178","","-1.05%"
"2024- 01- 02","9.2353","9.1889","9.2690","9.1439","","0.59%"
"2024- 01- 01","9.1812","9.1787","9.1919","9.1769","","0.06%"
"2023- 12- 29","9.1756","9.1207","9.2142","9.0696","","0.66%"
"2023- 12- 28","9.1150","9.1245","9.1742","9.0982","","0.01%"
"2023- 12- 27","9.1144","9.0983","9.1420","9.0468","","0.31%"
"2023- 12- 26","9.0864","9.1067","9.1414","9.0798","","-0.14%"
"2023- 12- 25","9.0990","9.1168","9.1348","9.0997","","-0.09%"
"2023- 12- 22","9.1073","9.1219","9.1629","9.1000","","-0.03%"
"2023- 12- 21","9.1104","9.0840","9.1486","9.0715","","0.39%"
"2023- 12- 20","9.0750","9.0440","9.0938","9.0157","","0.40%"
"2023- 12- 19","9.0387","9.1309","9.1793","9.0178","","-0.95%"
"2023- 12- 18","9.1252","9.1589","9.1625","9.0948","","-0.23%"
"2023- 12- 15","9.1462","9.0918","9.1967","9.0537","","0.71%"
"2023- 12- 14","9.0820","9.2276","9.2800","9.0661","","-1.47%"
"2023- 12- 13","9.2172","9.0221","9.2283","9.0139","","2.28%"
"2023- 12- 12","9.0121","9.0085","9.0587","8.9924","","0.08%"
"2023- 12- 11","9.0049","9.0975","9.1005","8.9941","","-0.84%"
"2023- 12- 08","9.0812","9.1184","9.1743","9.0259","","-0.40%"
