"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 01- 19","1,333.66","1,339.75","1,339.99","1,332.10","","-0.36%"
"2024- 01- 18","1,338.43","1,345.40","1,346.99","1,335.65","","-0.41%"
"2024- 01- 17","1,343.95","1,339.01","1,350.61","1,337.03","","0.43%"
"2024- 01- 16","1,338.13","1,320.58","1,340.71","1,320.21","","1.39%"
"2024- 01- 15","1,319.82","1,313.95","1,323.11","1,313.52","","0.50%"
"2024- 01- 12","1,313.22","1,314.60","1,317.70","1,307.29","","-0.05%"
"2024- 01- 11","1,313.86","1,319.37","1,321.04","1,312.38","","-0.38%"
"2024- 01- 10","1,318.93","1,320.59","1,323.54","1,316.49","","-0.09%"
"2024- 01- 09","1,320.08","1,312.17","1,321.93","1,308.82","","0.63%"
"2024- 01- 08","1,311.77","1,315.10","1,321.50","1,311.63","","-0.18%"
"2024- 01- 05","1,314.16","1,314.54","1,322.77","1,307.19","","0.08%"
"2024- 01- 04","1,313.08","1,310.41","1,315.81","1,305.68","","0.27%"
"2024- 01- 03","1,309.50","1,310.95","1,313.59","1,304.49","","-0.14%"
"2024- 01- 02","1,311.32","1,293.30","1,314.93","1,290.95","","1.37%"
"2024- 01- 01","1,293.54","1,294.80","1,294.80","1,294.54","","-0.07%"
"2023- 12- 29","1,294.40","1,289.80","1,302.03","1,283.82","","0.40%"
"2023- 12- 28","1,289.23","1,294.88","1,295.64","1,285.13","","-0.27%"
"2023- 12- 27","1,292.78","1,294.95","1,296.46","1,291.72","","-0.09%"
"2023- 12- 26","1,293.99","1,296.39","1,300.15","1,291.82","","-0.11%"
"2023- 12- 25","1,295.43","1,298.72","1,299.45","1,296.12","","-0.14%"
"2023- 12- 22","1,297.25","1,296.95","1,303.93","1,295.80","","0.18%"
"2023- 12- 21","1,294.86","1,303.31","1,307.87","1,295.91","","-0.63%"
"2023- 12- 20","1,303.08","1,300.84","1,305.17","1,297.06","","0.22%"
"2023- 12- 19","1,300.21","1,303.94","1,310.57","1,299.72","","-0.21%"
"2023- 12- 18","1,302.89","1,302.10","1,305.36","1,296.26","","0.19%"
"2023- 12- 15","1,300.40","1,289.95","1,304.79","1,287.97","","0.91%"
"2023- 12- 14","1,288.65","1,305.96","1,306.64","1,288.31","","-0.48%"
"2023- 12- 13","1,294.83","1,312.48","1,321.32","1,294.40","","-1.23%"
"2023- 12- 12","1,310.90","1,316.73","1,319.28","1,307.05","","-0.41%"
"2023- 12- 11","1,316.25","1,316.10","1,321.52","1,314.34","","-0.01%"
"2023- 12- 08","1,316.41","1,314.09","1,320.44","1,304.33","","0.26%"
"2023- 12- 07","1,313.00","1,315.44","1,327.93","1,311.69","","-0.24%"
"2023- 12- 06","1,316.15","1,313.69","1,318.18","1,309.91","","0.20%"
"2023- 12- 05","1,313.58","1,310.67","1,318.74","1,307.89","","0.29%"
"2023- 12- 04","1,309.75","1,293.95","1,313.30","1,293.73","","1.26%"
"2023- 12- 01","1,293.40","1,300.91","1,308.78","1,293.97","","-0.46%"
"2023- 11- 30","1,299.35","1,290.66","1,301.61","1,286.42","","0.63%"
"2023- 11- 29","1,291.17","1,288.35","1,294.47","1,285.14","","0.30%"
"2023- 11- 28","1,287.25","1,298.41","1,298.91","1,285.70","","-0.75%"
